video_id,view_count,like_count,comment_count,duration_seconds,Year,Month,Day,Weekday,Time,Cleaned_Title,Duration_Category
W_s4c1vLGXM,22102,840,45,46.0,2023,7,31,Monday,13:07:06,How much do Data Analysts make dataanalyst dataanalystsalary,Short
DWte9zjGl0I,64310,3470,47,51.0,2023,7,28,Friday,12:48:19,Do you need to learn SQL if you can do everything in Python Python dataanalysis SQL,Short
EzeeypMKx7o,23299,459,14,517.0,2023,7,25,Tuesday,12:00:19,Regular Expression Methods in Python,Medium
OISvlkfbntY,44676,1582,76,822.0,2023,7,18,Tuesday,12:00:17,What are Hiring Managers Looking For Nail the Interview Process,Medium
8dTpNajxaH0,688285,12185,478,1523.0,2023,7,11,Tuesday,12:00:07,Scraping Data from a Real Website Web Scraping in Python,Long
oreAsJTNcsA,238977,6637,120,4108.0,2023,7,6,Thursday,17:20:05,SQL Beginner to Advanced in One Hour CareerFoundry Webinar,Long
xjA1HjvmoMY,94987,2392,44,730.0,2023,7,4,Tuesday,12:00:49,Find and FindAll Web Scraping in Python,Medium
LO7hzmoHEIE,6285,383,24,6232.0,2023,6,28,Wednesday,17:11:25,500k Livestream,Long
bargNl2WeN4,229208,4006,81,418.0,2023,6,27,Tuesday,12:00:28,BeautifulSoup Requests Web Scraping in Python,Medium
q-kbzWjyPak,90499,2205,42,355.0,2023,6,20,Tuesday,12:00:43,Inspecting Web Pages with HTML Web Scraping in Python,Medium
PExdWWcxmro,231977,5675,101,464.0,2023,6,13,Tuesday,12:00:16,Best Places to Find Datasets for Your Projects,Medium
Liv6eeb1VfE,203409,4492,243,1933.0,2023,6,6,Tuesday,12:00:14,Exploratory Data Analysis in Pandas Python Pandas Tutorials,Long
fHK4nHbUtj0,10268,363,20,5548.0,2023,5,30,Tuesday,16:34:20,Data Analyst QA Livestream May Livestream Ask Me Anything,Long
5l2d_Rv0odE,337804,6201,168,443.0,2023,5,29,Monday,12:00:07,What is Microsoft Fabric New Data Analytics Platform,Medium
bDhvCp3_lYw,460353,10766,501,2317.0,2023,5,23,Tuesday,12:30:17,Data Cleaning in Pandas Python Pandas Tutorials,Long
IMU1V-JugKo,59045,1874,52,4248.0,2023,5,16,Tuesday,16:18:56,The Ultimate Data Analytics Career Plan for 2023 CareerFoundry Webinar,Long
FpgkpjSyBOw,46700,1381,376,4352.0,2023,5,15,Monday,12:30:11,State of AI in Analytics Will AI be the End of Data Analysts,Long
6jtS3Hz19kc,33389,799,80,521.0,2023,5,12,Friday,12:15:00,Google Bard Got An Upgrade Googles New AI Announcements,Medium
JpSMse3eVVg,100953,2215,47,1010.0,2023,5,9,Tuesday,11:30:06,Creating Visualizations using Pandas Library Python Pandas Tutorials,Medium
TPivN7tpdwc,159498,3428,84,1329.0,2023,5,2,Tuesday,12:06:33,Merging DataFrames in Pandas Python Pandas Tutorials,Long
kky9MMydnOA,10328,338,27,5944.0,2023,4,27,Thursday,16:32:02,Data Analyst QA Livestream April Livestream Ask Me Anything,Long
2izXQUoXyjA,66378,1253,59,481.0,2023,4,25,Tuesday,11:30:01,How to Integrate ChatGPT in Jupyter Notebooks for Free,Medium
zilfrWwbteQ,39410,1078,31,4135.0,2023,4,18,Tuesday,16:18:50,7 Ways to Use ChatGPT for Analytics Webinar,Long
PJINexERxOs,47066,1276,74,424.0,2023,4,18,Tuesday,11:30:08,Google Business Intelligence Professional Certification Review,Medium
gTf2GLEhKgA,161118,4549,410,695.0,2023,4,10,Monday,11:30:21,Google Advanced Data Analytics Professional Certificate First Look Is it Worth it,Medium
VRmXto2YA2I,128742,3091,137,665.0,2023,4,4,Tuesday,11:30:10,Group By and Aggregate Functions in Pandas Python Pandas Tutorials,Medium
